C,filename,url,atom_count,valid,reason,bytes,sha256
38,C38-C1-14.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C1-14.xyz,38,1,OK,2330,0f4f8f90b50ab3da3600f1e69ecf1be49b1e76a543e08d420190bdbde9311b87
38,C38-C1-3.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C1-3.xyz,38,1,OK,2330,ae3ae12e28116e47cc2ab7ea3839ed07c3488e119bb8115d7b20a2ddf354a796
38,C38-C1-4.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C1-4.xyz,38,1,OK,2330,e3a26e636fed93fa6b959c398dc409a5e8d4ce78491babadb576ef9987df768c
38,C38-C1-5.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C1-5.xyz,38,1,OK,2330,966b16dd6cc2bd6cf249cb177a7a4553965bb65a8bd741cafb5e027425477623
38,C38-C1-7.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C1-7.xyz,38,1,OK,2330,0632c40b6d07917076edac99b44f4652ee2c369d8346890318a043e87d694eff
38,C38-C1-8.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C1-8.xyz,38,1,OK,2330,39973f9d9091c91d1588f4060b37e6f54f67f52d1a31cc1f735cae0f2f174a50
38,C38-C2-1.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C2-1.xyz,38,1,OK,2330,6262eddd153013431826346cdc27716100634a1e7f7c2703b3f2a115c2556d1e
38,C38-C2-10.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C2-10.xyz,38,1,OK,2330,3ced07f9a1b6b422a5a6c83584bd5f94d4926376cd347ec7d7e397f7c143946f
38,C38-C2-13.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C2-13.xyz,38,1,OK,2330,c2058e45f29d48dd65b4f40e12064c6373993928818122ae96637175de99338a
38,C38-C2-17.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C2-17.xyz,38,1,OK,2330,c1f672f6a1fd79d4b4245391da8c1140275d0c48e5e81b52ae90120a0ed83f85
38,C38-C2-6.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C2-6.xyz,38,1,OK,2330,d59a6c993868b82dc849c26b14965c5274e9d4d600dd65aeda1feb8b1b83d322
38,C38-C2v-12.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C2v-12.xyz,38,1,OK,2330,e5d0a235844a3c33fc4c7f382b9fbe6e6dd8a3922bf677cbfc8d7759d7b27e36
38,C38-C2v-15.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C2v-15.xyz,38,1,OK,2330,f61bc480a47c70cecde3a6542aa20afdce8b381d20bbd5296a54a63d288015b0
38,C38-C3v-16.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C3v-16.xyz,38,1,OK,2330,c1f4503bd0bf5a6e6dd63caa46af025497a3487e18166ca36edc4d07191e88ed
38,C38-D3-9.xyz,https://nanotube.msu.edu/fullerene/C38/C38-D3-9.xyz,38,1,OK,2330,c55ccfb0bc8dcdfa0325b193c1713c4fd999170ee76bf0853c8002f4cd32adf6
38,C38-D3h-2.xyz,https://nanotube.msu.edu/fullerene/C38/C38-D3h-2.xyz,38,1,OK,2330,2195f018912bd9595e1825482c4150b6fbfa450036a7f2a791b359217bc111bf
40,C40-C1-10.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C1-10.xyz,40,1,OK,2448,1cfd849f9d6e0cc0d1e3e19ca8eef5e28dfe0ea1aaae8881b6175a0c6371ef08
40,C40-C1-12.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C1-12.xyz,40,1,OK,2448,d267d92d3e45cf172d312f9ad0980d31075e7349cfd536df0533bee3933322b0
40,C40-C1-17.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C1-17.xyz,40,1,OK,2448,d77e164d44856783964dde7bd7b44960f34df8fbfc2b39a4ba9f6d2743d68045
40,C40-C1-22.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C1-22.xyz,40,1,OK,2448,df9fe86e9125618331243f7fa7ff7cbde8ce7f1e7618fad939abefc4318a1356
40,C40-C1-26.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C1-26.xyz,40,1,OK,2448,5a9c862746822d794730cf3f69c02a51c997bcab735a092a41660997dacd59a6
40,C40-C1-34.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C1-34.xyz,40,1,OK,2448,575f464176fb6d71975a6cadb0e79a638244546f7dd0a7dfbd982c9c9e773ba6
40,C40-C1-4.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C1-4.xyz,40,1,OK,2448,95344a7a8c3f5e4dd11fef6d09dcd22dff5377c5ba2491048cead7377e77493a
40,C40-C1-6.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C1-6.xyz,40,1,OK,2448,ec257df611bd9fa8707e90eb6341aeaec2971aed278dd2f26216d4a1cc342985
40,C40-C2-11.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-11.xyz,40,1,OK,2448,6b40a33ca0cc96a51f5ce46d0e6f6dacb6de24bb9e9a9079a13385dee8917982
40,C40-C2-15.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-15.xyz,40,1,OK,2448,d8451b62d63ff2fc39dc8f707e9ed946ba85c54932f9c032ec246f1db41a2b8a
40,C40-C2-16.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-16.xyz,40,1,OK,2448,8387170f21af378eeede5d4836ddef619a8a5c92c24d353c65da402264bf3491
40,C40-C2-18.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-18.xyz,40,1,OK,2448,a54528b224382cbd1e3fc98beb59576d6fd87fd2816a4159874b9ade91bd3826
40,C40-C2-19.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-19.xyz,40,1,OK,2448,534eabfb2b8f0173d8467d1a63bb6dd4fe1803a55336d209c5fdb96a1338e777
40,C40-C2-2.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-2.xyz,40,1,OK,2448,c364c40fdc2a5d48dfde23d7d17d4c40e79e8b89f8e5f5380b3173835eb43491
40,C40-C2-21.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-21.xyz,40,1,OK,2448,a287c1317f9aaac208b4a0aebda17a52057615cf9fd779a70f6297e5b51af10f
40,C40-C2-23.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-23.xyz,40,1,OK,2448,2727fc27ad38d610d1b5fe1e1a0be389267587cb621c620b838d600534983f7b
40,C40-C2-25.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-25.xyz,40,1,OK,2448,393de375f9aa1ca4e8d02cd819ca83dd261911d1a10b0588cf73d90c20d415b3
40,C40-C2-27.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-27.xyz,40,1,OK,2448,54a4f7f200164dacf5f179850a4a1256c5c5453a385435e25c3d8b1794ac7f88
40,C40-C2-29.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-29.xyz,40,1,OK,2448,5f1f5e11c86bb8782adb823e739bc0ac1d172573f4e12893ec6227b6fc24929f
40,C40-C2-35.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-35.xyz,40,1,OK,2448,8df1b1fd1a56357e5a852016de8561cd76db1926b2a9ab0d74104281829a20bb
40,C40-C2-36.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-36.xyz,40,1,OK,2448,48e22a595d761c71daef41960e36697df43700695948281c65f51236c6591d46
40,C40-C2-9.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2-9.xyz,40,1,OK,2448,8e5f9a4bf9683bb652c744a799ce6c2c6156543521b10ead0f13cef44e2ec183
40,C40-C2v-37.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2v-37.xyz,40,1,OK,2448,f980d9030902ac4c71ff76985dbc89509a748a1943d83a5cf8422c7d7ea12d77
40,C40-C2v-8.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C2v-8.xyz,40,1,OK,2448,742a0f7bc967f644b1e794db7b13a4caa6404a408de7472c147a0308999e6fee
40,C40-C3-30.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C3-30.xyz,40,1,OK,2448,0afcdecdf2d8763dc26a439b70b5b9acfc699fcb41dd61cd83e584520457f358
40,C40-C3v-20.xyz,https://nanotube.msu.edu/fullerene/C40/C40-C3v-20.xyz,40,1,OK,2448,1bfc39d38eb43364124e6ea07642ebc60fb702fb6f7d7ec0fc96a198f680ce37
40,C40-Cs-13.xyz,https://nanotube.msu.edu/fullerene/C40/C40-Cs-13.xyz,40,1,OK,2448,148dd991fea683297346c15e6c1ae395713cc4089d88ccc8ecf422a7f69306cc
40,C40-Cs-14.xyz,https://nanotube.msu.edu/fullerene/C40/C40-Cs-14.xyz,40,1,OK,2448,84f43c0d42c89af80678a746443d6c4e27d92408e84acffbf807146f915a1e31
40,C40-Cs-24.xyz,https://nanotube.msu.edu/fullerene/C40/C40-Cs-24.xyz,40,1,OK,2448,913b72fae3a99db23e9377b8b81e3b483b89a9b0ecb96a05334a7c75db08bf96
40,C40-Cs-28.xyz,https://nanotube.msu.edu/fullerene/C40/C40-Cs-28.xyz,40,1,OK,2448,99a8170e037b519a1b7dce6543229415d35b6c696cd2238e169592d6b2f80151
40,C40-Cs-31.xyz,https://nanotube.msu.edu/fullerene/C40/C40-Cs-31.xyz,40,1,OK,2448,4cff04d74376c942e1d63b7859228664397a4491ba9ff61c94894f6f36e897a4
40,C40-Cs-5.xyz,https://nanotube.msu.edu/fullerene/C40/C40-Cs-5.xyz,40,1,OK,2448,942992d72d185803a71bbadc63f93de723956139054849eb182a35382bd28a51
40,C40-Cs-7.xyz,https://nanotube.msu.edu/fullerene/C40/C40-Cs-7.xyz,40,1,OK,2448,d9b7951738b8d7af8b9d5752328c0f66f068f8a1339195b6712aef8270e85f36
40,C40-D2-3.xyz,https://nanotube.msu.edu/fullerene/C40/C40-D2-3.xyz,40,1,OK,2448,33fc4ada5451816736edc9ea0356f04983b7b113cf5283693f19a2a1501888e8
40,C40-D2-32.xyz,https://nanotube.msu.edu/fullerene/C40/C40-D2-32.xyz,40,1,OK,2448,42ccc291728b0e58924d37888a9f3d8b4c15a6676da0bacaf276e34010373d9e
